tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,
2024-11-16 06:18:48,6737b200d181be0007fcb0ac,PNUT-USDT,buy,1.7421,2,3.4842,0.0034842,maker,USDT,limit,0,
2024-11-16 06:16:41,6737bf6df53c5a0007c2bceb,PNUT-USDT,buy,1.7559,0.34,0.597006,0.000597006,maker,USDT,limit,0,
2024-11-16 05:44:05,6737bf6df53c5a0007c2bceb,PNUT-USDT,buy,1.7559,1.68,2.949912,0.002949912,maker,USDT,limit,0,
2024-11-16 05:38:50,6737bf6a1d476000074ebb73,PNUT-USDT,sell,1.7526,1.96,3.435096,0.003435096,taker,USDT,market,0,
2024-11-16 04:55:18,6737b52d429d8b0007daf2d7,PNUT-USDT,buy,1.8064,1.96,3.540544,0.003540544,maker,USDT,limit,0,
2024-11-16 04:55:08,6737b1f1c95c310007945f64,PNUT-USDT,sell,1.8075,2,3.615,0.003615,maker,USDT,limit,0,
2024-11-16 04:41:35,6737b1fbae43c400071f2509,PNUT-USDT,sell,1.7777,2,3.5554,0.0035554,maker,USDT,limit,0,
2024-11-16 04:41:30,6737b1fa08e10c0007bf69a6,PNUT-USDT,buy,1.7787,1.97,3.504039,0.003504039,taker,USDT,market,0,
2024-11-16 04:41:20,6737b1f01d4760000701421a,PNUT-USDT,buy,1.7721,2,3.5442,0.0035442,maker,USDT,limit,0,
2024-11-16 04:41:17,6737b1ed54d62a00075ec95e,PNUT-USDT,sell,1.7821,1.93,3.439453,0.003439453,taker,USDT,market,0,
2024-11-16 04:21:17,6737ad33355a360007da4ef3,PNUT-USDT,buy,1.8383,1.93,3.547919,0.003547919,maker,USDT,limit,0,
2024-11-16 04:21:06,6737ad303cda650007c1c68a,PNUT-USDT,sell,1.8375,3.5,6.43125,0.00643125,maker,USDT,limit,0,
2024-11-16 04:21:03,6737ad1e08e10c00079fa8dc,PNUT-USDT,buy,1.8365,3.5,6.42775,0.00642775,maker,USDT,limit,0,
2024-11-16 04:20:46,6737abfdcf1a87000729d465,PNUT-USDT,sell,1.8388,1.97,3.622436,0.003622436,maker,USDT,limit,0,
2024-11-16 04:15:56,6737abd8858fce000747a8c9,PNUT-USDT,buy,1.8028,1.97,3.551516,0.003551516,maker,USDT,limit,0,
2024-11-16 04:15:33,6737abdf4bcca600078300e4,PNUT-USDT,sell,1.8039,1.97,3.553683,0.003553683,maker,USDT,limit,0,
2024-11-16 04:15:21,6737abd9f53c5a00074d0360,PNUT-USDT,buy,1.8053,2.03,3.664759,0.003664759,taker,USDT,market,0,
2024-11-16 04:15:19,6737a36198326e0007cc994b,PNUT-USDT,sell,1.801,2.01,3.62001,0.00362001,maker,USDT,limit,0,
2024-11-16 03:39:12,6737a35af53c5a0007176c9c,PNUT-USDT,buy,1.7657,2.01,3.549057,0.003549057,maker,USDT,limit,0,
2024-11-16 03:39:06,6737a34fc95c310007365b99,PNUT-USDT,sell,1.7648,3.65,6.44152,0.00644152,maker,USDT,limit,0,
2024-11-16 03:38:54,6737a347adc212000702c2c3,PNUT-USDT,buy,1.7638,3.65,6.43787,0.00643787,maker,USDT,limit,0,
2024-11-16 03:38:45,6737994b54d62a0007c7d1db,PNUT-USDT,sell,1.7657,2.05,3.619685,0.003619685,maker,USDT,limit,0,
2024-11-16 03:37:34,6737a267adc2120007fda940,PNUT-USDT,sell,1.7515,2.03,3.555545,0.003555545,maker,USDT,limit,0,
2024-11-16 03:34:57,6737a261adc2120007fd8dce,PNUT-USDT,buy,1.747,0.93,1.62471,0.00162471,taker,USDT,market,0,
2024-11-16 03:34:57,6737a261adc2120007fd8dce,PNUT-USDT,buy,1.747,1.16,2.02652,0.00202652,taker,USDT,market,0,
2024-11-16 03:34:57,6737a259c95c31000730bf64,PNUT-USDT,sell,1.7463,3.68,6.426384,0.006426384,maker,USDT,limit,0,
2024-11-16 03:34:48,6737a2581d476000079da560,PNUT-USDT,buy,1.7466,1.98,3.458268,0.003458268,taker,USDT,market,0,
2024-11-16 03:34:47,6737a257c95c31000730b523,PNUT-USDT,buy,1.7469,1.47,2.567943,0.002567943,taker,USDT,market,0,
2024-11-16 02:56:10,6737993e08e10c000727d01d,PNUT-USDT,buy,1.7311,2.05,3.548755,0.003548755,maker,USDT,limit,0,
2024-11-16 02:55:57,67378f54f53c5a000799a1f2,PNUT-USDT,sell,1.7295,0.01,0.017295,0.000017295,maker,USDT,limit,0,
2024-11-16 02:55:57,67378f54f53c5a000799a1f2,PNUT-USDT,sell,1.7295,2.08,3.59736,0.00359736,maker,USDT,limit,0,
2024-11-16 02:16:22,67378f55d181be000720e256,PNUT-USDT,sell,1.6952,2.09,3.542968,0.003542968,maker,USDT,limit,0,
2024-11-16 02:13:40,67378f534bcca60007cf8e70,PNUT-USDT,buy,1.6955,3.79,6.425945,0.006425945,maker,USDT,limit,0,
2024-11-16 02:13:39,67378f53355a3600071dc93f,PNUT-USDT,sell,1.6959,2.09,3.544431,0.003544431,taker,USDT,limit,0,
2024-11-16 02:13:38,67378f49ae43c40007433614,PNUT-USDT,buy,1.6956,2.09,3.543804,0.003543804,maker,USDT,limit,0,
2024-11-16 02:13:27,67378f474bcca60007cf384b,PNUT-USDT,sell,1.693,3.69,6.24717,0.00624717,taker,USDT,market,0,
2024-11-16 01:35:06,673786403cda650007ccb4f9,PNUT-USDT,buy,1.743,3.69,6.43167,0.00643167,maker,USDT,limit,0,
2024-11-16 01:32:51,6737859bab0f0a00070dde77,PNUT-USDT,sell,1.7232,3.73,6.427536,0.006427536,maker,USDT,limit,0,
2024-11-16 01:32:10,6737843a2ab01000071df6cd,PNUT-USDT,buy,1.7257,3.66,6.316062,0.006316062,maker,USDT,limit,0,
2024-11-16 01:26:15,6737843754d62a00073da3fc,PNUT-USDT,sell,1.761,3.66,6.44526,0.00644526,taker,USDT,limit,0,
2024-11-16 01:26:11,6737822a1d47600007d330fb,PNUT-USDT,buy,1.7597,3.58,6.299726,0.006299726,maker,USDT,limit,0,
2024-11-16 01:17:29,673781f5d181be0007cd0248,PNUT-USDT,sell,1.7957,3.58,6.428606,0.006428606,maker,USDT,limit,0,
2024-11-16 00:40:54,67377996355a36000790f616,PNUT-USDT,buy,1.8997,1.87,3.552439,0.003552439,maker,USDT,limit,0,
2024-11-16 00:40:52,67377994f53c5a00070cc9bb,PNUT-USDT,sell,1.8982,1.9,3.60658,0.00360658,taker,USDT,market,0,
2024-11-16 00:34:26,67377810392ff70007d531cf,PNUT-USDT,buy,1.8684,1.9,3.54996,0.00354996,maker,USDT,limit,0,
2024-11-16 00:34:24,6737780cfc9022000707ff00,PNUT-USDT,sell,1.871,1.9,3.5549,0.0035549,maker,USDT,limit,0,
2024-11-16 00:34:19,6737780b1d476000078da69c,PNUT-USDT,buy,1.873,1.87,3.50251,0.00350251,taker,USDT,market,0,
2024-11-16 00:32:49,673777af3cda6500076a9575,PNUT-USDT,sell,1.8984,1.87,3.550008,0.003550008,maker,USDT,limit,0,
2024-11-16 00:32:46,673777a2ae43c40007a86c32,PNUT-USDT,buy,1.9001,1.87,3.553187,0.003553187,maker,USDT,limit,0,
2024-11-16 00:32:31,6737779f2ab0100007c87489,PNUT-USDT,sell,1.9173,1.79,3.431967,0.003431967,taker,USDT,market,0,
2024-11-16 00:21:29,673775094bcca60007226e32,PNUT-USDT,buy,1.9775,1.79,3.539725,0.003539725,maker,USDT,limit,0,
2024-11-16 00:21:26,6737750654d62a0007d63100,PNUT-USDT,sell,1.9942,1.73,3.449966,0.003449966,taker,USDT,market,0,
2024-11-16 00:18:51,67377465fc90220007ed9a41,PNUT-USDT,buy,2.0552,1.73,3.555496,0.003555496,maker,USDT,limit,0,
2024-11-16 00:18:42,67377462c95c310007065044,PNUT-USDT,sell,2.0607,1.67,3.441369,0.003441369,taker,USDT,market,0,
2024-11-16 00:16:35,673773e3ab0f0a00079460e2,PNUT-USDT,buy,2.104,3.02,6.35408,0.00635408,taker,USDT,market,0,
2024-11-16 00:15:13,6737738e392ff70007b40db1,PNUT-USDT,sell,2.1266,3.02,6.422332,0.006422332,maker,USDT,limit,0,
2024-11-16 00:15:10,6737738e98326e000795a439,PNUT-USDT,buy,2.1226,1.67,3.544742,0.003544742,taker,USDT,limit,0,
2024-11-16 00:15:10,6737738c355a36000764a6fb,PNUT-USDT,sell,2.1257,1.67,3.549919,0.003549919,maker,USDT,limit,0,
2024-11-16 00:15:09,673772e92ab0100007a629d5,PNUT-USDT,buy,2.1171,2.98,6.308958,0.006308958,maker,USDT,limit,0,
2024-11-16 00:15:07,673772e34bcca6000711e75b,PNUT-USDT,buy,2.1323,1.63,3.475649,0.003475649,maker,USDT,limit,0,
2024-11-16 00:12:24,673772e4c95c310007fb30b7,PNUT-USDT,sell,2.1604,2.98,6.437992,0.006437992,maker,USDT,limit,0,
2024-11-16 00:12:19,673772d098326e0007907493,PNUT-USDT,buy,2.1645,2.97,6.428565,0.006428565,maker,USDT,limit,0,
2024-11-16 00:12:18,673772e2d181be0007631774,PNUT-USDT,sell,2.1759,1.63,3.546717,0.003546717,maker,USDT,limit,0,
2024-11-16 00:12:17,673772daf53c5a0007dbc090,PNUT-USDT,buy,2.1845,1.62,3.53889,0.00353889,maker,USDT,limit,0,
2024-11-16 00:12:09,67377247d181be00075ede19,PNUT-USDT,sell,2.1846,1.66,3.626436,0.003626436,maker,USDT,limit,0,
2024-11-16 00:11:59,673772ce1d476000076769ae,PNUT-USDT,sell,2.1675,2.97,6.437475,0.006437475,maker,USDT,limit,0,
2024-11-16 00:11:57,673772cdab0f0a00078c879e,PNUT-USDT,buy,2.1617,0.65,1.405105,0.001405105,taker,USDT,market,0,
2024-11-16 00:11:57,673772cdab0f0a00078c879e,PNUT-USDT,buy,2.1615,1.04,2.24796,0.00224796,taker,USDT,market,0,
2024-11-16 00:09:43,67377245392ff70007ab2748,PNUT-USDT,buy,2.1418,1.66,3.555388,0.003555388,maker,USDT,limit,0,
2024-11-16 00:09:40,6737719fc95c310007f23f77,PNUT-USDT,sell,2.1455,1.69,3.625895,0.003625895,maker,USDT,limit,0,
2024-11-16 00:06:54,6737719e57d336000763c1e6,PNUT-USDT,buy,2.1035,1.69,3.554915,0.003554915,taker,USDT,limit,0,
2024-11-16 00:06:53,6737715e1d476000075d4b51,PNUT-USDT,sell,2.1076,1.72,3.625072,0.003625072,maker,USDT,limit,0,
2024-11-16 00:06:46,673771952ab01000079cce82,PNUT-USDT,sell,2.0984,1.69,3.546296,0.003546296,maker,USDT,limit,0,
2024-11-16 00:06:44,673771944bcca6000708b7b4,PNUT-USDT,buy,2.0943,3.16,6.617988,0.006617988,taker,USDT,market,0,
2024-11-16 00:06:08,67377168858fce0007cc457f,PNUT-USDT,sell,2.0348,3.16,6.429968,0.006429968,maker,USDT,limit,0,
2024-11-16 00:05:49,6737715ccf1a870007ad35f0,PNUT-USDT,buy,2.0663,1.72,3.554036,0.003554036,maker,USDT,limit,0,
2024-11-16 00:05:47,6737715a858fce0007cbe0a2,PNUT-USDT,sell,2.0627,1.72,3.547844,0.003547844,maker,USDT,limit,0,
2024-11-16 00:05:44,6737710f2ab010000798b6d8,PNUT-USDT,buy,2.0534,1.69,3.470246,0.003470246,maker,USDT,limit,0,
2024-11-16 00:04:38,673771151d476000075b043f,PNUT-USDT,buy,2.0981,3.07,6.441167,0.006441167,maker,USDT,limit,0,
