tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,Unnamed: 12,fees_paid,trade_value,profit_loss,cumulative_profit_loss
2024-11-16 08:12:27,6737e36bd181be000705e4b3,PNUT-USDT,sell,1.688,0.92,1.55296,0.00155296,taker,USDT,market,0,,0.00155296,1.5545129599999998,0.014769999999999778,-0.18307599999999993
2024-11-16 08:12:27,6737e36bd181be000705e4b3,PNUT-USDT,sell,1.688,1.12,1.89056,0.00189056,taker,USDT,market,0,,0.00189056,1.8924505600000001,0.0,-0.18307599999999993
2024-11-16 08:12:23,6737e3673cda650007ea47fb,PNUT-USDT,sell,1.6914,2.1,3.55194,0.00355194,taker,USDT,limit,0,,0.00355194,3.55549194,0.0,-0.18307599999999993
2024-11-16 08:12:23,6737e338fc9022000783e934,PNUT-USDT,buy,1.6915,3.8,6.4277,0.0064277,maker,USDT,limit,0,,0.0064277,6.4341276999999995,-0.0003799999999999581,-0.1834559999999999
2024-11-16 08:11:36,6737e337cf1a870007598315,PNUT-USDT,sell,1.6928,3.8,6.43264,0.00643264,maker,USDT,limit,0,,0.00643264,6.43907264,0.004940000000000299,-0.1785159999999996
2024-11-16 08:11:35,6737dd8c1d47600007e96091,PNUT-USDT,buy,1.6906,2.06,3.482636,0.003482636,maker,USDT,limit,0,,0.003482636,3.486118636,0.004531999999999959,-0.17398399999999964
2024-11-16 07:47:23,6737dd861d47600007e946f0,PNUT-USDT,sell,1.7252,2.06,3.553912,0.003553912,maker,USDT,limit,0,,0.003553912,3.557465912,0.07127599999999992,-0.10270799999999972
2024-11-16 07:47:18,6737d953cf1a870007239a7e,PNUT-USDT,buy,1.7236,3.66,6.308376,0.006308376,maker,USDT,limit,0,,0.006308376,6.314684376,0.005856000000000168,-0.09685199999999955
2024-11-16 07:29:23,6737d95398326e0007fc9fe7,PNUT-USDT,buy,1.7581,0.07,0.123067,0.000123067,taker,USDT,market,0,,0.000123067,0.123190067,0.0,-0.09685199999999955
2024-11-16 07:29:19,6737d9441d47600007d3705c,PNUT-USDT,sell,1.7588,3.66,6.437208,0.006437208,maker,USDT,limit,0,,0.006437208,6.443645208,4.899999999999461e-05,-0.09680299999999956
2024-11-16 07:29:07,6737d94308e10c0007915f87,PNUT-USDT,buy,1.757,1.98,3.47886,0.00347886,taker,USDT,market,0,,0.00347886,3.48233886,0.003564000000000047,-0.0932389999999995
2024-11-16 07:15:48,6737d624cf1a87000713766d,PNUT-USDT,buy,1.7085,0.03,0.051255,5.1255e-05,taker,USDT,market,0,,5.1255e-05,0.051306255,0.0,-0.0932389999999995
2024-11-16 07:15:46,6737d6212ab0100007015c19,PNUT-USDT,sell,1.7073,2.08,3.551184,0.003551184,maker,USDT,limit,0,,0.003551184,3.554735184,-3.599999999999604e-05,-0.0932749999999995
2024-11-16 07:15:45,6737d62108e10c000781807b,PNUT-USDT,buy,1.7078,2.04,3.483912,0.003483912,taker,USDT,market,0,,0.003483912,3.487395912,-0.0010199999999998877,-0.09429499999999938
2024-11-16 07:15:44,6737d620392ff700070ad6f8,PNUT-USDT,buy,1.7078,1.63,2.783714,0.002783714,taker,USDT,market,0,,0.002783714,2.786497714,0.0,-0.09429499999999938
2024-11-16 07:11:34,6737d524cf1a8700070e647f,PNUT-USDT,sell,1.7324,2.05,3.55142,0.00355142,maker,USDT,limit,0,,0.00355142,3.5549714199999998,0.040097999999999925,-0.054196999999999454
2024-11-16 07:11:31,6737d1ed57d3360007b374eb,PNUT-USDT,buy,1.7351,2.0,3.4702,0.0034702,maker,USDT,limit,0,,0.0034702,3.4736702000000004,-0.0054000000000002935,-0.05959699999999975
2024-11-16 07:05:05,6737d39f858fce0007257667,PNUT-USDT,buy,1.7401,2.04,3.549804,0.003549804,maker,USDT,limit,0,,0.003549804,3.553353804,0.0,-0.05959699999999975
2024-11-16 07:05:00,6737d39c98326e0007df9d03,PNUT-USDT,sell,1.7387,1.98,3.442626,0.003442626,taker,USDT,market,0,,0.003442626,3.446068626,-0.0028560000000001384,-0.062452999999999884
2024-11-16 06:57:47,6737d1c6ab0f0a0007d32fef,PNUT-USDT,sell,1.7706,2.0,3.5412,0.0035412,maker,USDT,limit,0,,0.0035412,3.5447412,0.0,-0.062452999999999884
2024-11-16 06:57:09,6737d1c51d47600007ae198e,PNUT-USDT,buy,1.7698,1.98,3.504204,0.003504204,taker,USDT,market,0,,0.003504204,3.507708204,0.0015839999999998256,-0.060869000000000055
2024-11-16 06:31:36,6737cbc7c95c310007265d11,PNUT-USDT,sell,1.7952,1.98,3.554496,0.003554496,maker,USDT,limit,0,,0.003554496,3.558050496,0.05029199999999974,-0.010577000000000315
2024-11-16 06:31:32,6737cbc41d476000079337c7,PNUT-USDT,buy,1.7948,1.0,1.7948,0.0017948,taker,USDT,market,0,,0.0017948,1.7965948,0.00039999999999995595,-0.01017700000000036
